,Class,Subclass,Condena,Location,Victims,Date murder,Date Detention,Victim Profile
206,Asesino en masa,Harper-Mercer preguntó a sus víctimas cuál era su religión antes de dispararles,Según la Policía se suicidó disparándose el mismo día,"Roseburg, Estados Unidos (Oregón)",9,1 de octubre de 2015,26 de julio de 1989,"Lucero Alcaraz, de 19 años / Treven Taylor Anspach, de 20 / Rebecka Ann Carnes, de 18 / Quinn Glenn Cooper, de 18 / Kim Saltmarsh Dietz, de 59 / Lucas Eibel, de 18 / Jason Dale Johnson, de 33 / Sarena Dawn Moore, de 44 / Lawerence Levine, de 67 (profesora asistente)"
207,Asesino en masa,Tiroteo en un instituto,Se suicida el mismo día disparándose con una escopeta en la boca,"Columbine, Estados Unidos (Colorado)",13,20 de abril de 1999,9 de abril de 1981,"Rachel Scott, 17 / Daniel Rohrbough, 15 / William David Sanders, 47 / Kyle Velasquez, 16 / Steven Curnow, 14 / Cassie Bernall, 17 / Isaiah Shoels, 18 / Matthew Kechter, 16 / Lauren Townsend, 18 / John Tomlin, 16 / Kelly Fleming, 16 / Daniel Mauser, 15 / Corey DePooter, 17"
208,Asesino,Parricidio - Fingió su propio suicidio,Fue condenado a cadena perpetua el 1 de abril de 1987,"Hazel Grove, Inglaterra, Gran Bretaña",2,Julio de 1986,16 de agosto de 1986,1949
209,Asesino,Psicópata sádico - Mutilación,Fue ejecutado en la horca el 16 de octubre de 1946,"Londres / Bournemouth, Gran Bretaña",2,Junio / Julio de 1946,8 de julio de 1946,6 de junio de 1917
210,Asesino,Canibalismo - Secuestro - Tortura - Violación,Fue ejecutado por inyección letal en Pensilvania el 6 de julio de 1999,"Filadelfia, Estados Unidos (Pensilvania)",2,1986 - 1987,24 de marzo de 1987,22 de noviembre de 1943
211,Homicida,Menor de edad (16) - Robos - Secuestro,Fue condenado a cadena perpetua el 5 de septiembre de 1946. Murió en prisión el 5 de marzo de 2012,"Chicago, Estados Unidos (Illinois)",3,1945 - 1946,26 de junio de 1946,15 de noviembre de 1928
212,Asesino,Violador,Fue ejecutado en la horca el 30 de julio de 1953,"York, Inglaterra, Gran Bretaña",1,10 de marzo de 1953,17 de marzo de 1953,1931
213,Homicida en serie,Menor de edad (15) - Robos,Condenado a 4 años de prisión en 1993 (la pena máxima que la ley permitía imponer a un menor). Puesto en libertad en enero de 1996. Asesinado el 27 de febrero de 1996,"Quito, Ecuador",22,1991 - 1992,9 de enero de 1992,28 de febrero de 1976
214,Asesino,"Trituró los cadáveres, aún no encontrados, en una picadora industrial de carne que tenía en el sótano de su casa","Condenado a 27 años, tres meses y un día de prisión el 23 de octubre de 2017","Majadahonda, Madrid, España",2,2010 / 2015,10 de abril de 2015,1984
215,Asesino en masa,Robos - Uno de los asesinos que inspiraron la novela «A sangre fría» de Truman Capote,Ejecutado por ahorcamiento en la prisión de Lansing el 14 de abril de 1965,"Holcomb, Estados Unidos (Kansas)",4,14 de noviembre de 1959,30 de diciembre de 1959,6 de junio de 1931
216,Asesino en serie,Tortura,Ejecutado en la horca el 7 de mayo de 1896,"Chicago, Estados Unidos (Illinois)",27 +,1889 - 1894,17 de noviembre de 1894,16 de mayo de 1861
217,Asesino en masa,Tiroteo en un cine durante el estreno de la película «The Dark Knight Rises»,Condenado a cadena perpetua sin posibilidad de libertad condicional el 7 de agosto de 2015,"Aurora, Estados Unidos (Colorado)",12,20 de julio de 2012,Mismo día,13 de diciembre de 1987
218,Asesinos,"Los secuestradores confundieron a Muriel McKay con Anna, la esposa de Rupert Murdoch",Fueron condenados a cadena perpetua el 6 de octubre de 1970,"Stocking Pelham, Gran Bretaña",1,29 de diciembre de 1969,7 de febrero de 1970,Arthur - 1936 / Nizamodeen - 1948
219,Asesino en masa,Venganza,Muerto el mismo día por un francotirador del equipo SWAT,"San Ysidro, Estados Unidos (California)",21,18 de julio de 1984,11 de octubre de 1942,"Elsa Herlinda Borboa-Firro, 19 (empleado de McDonald's) / Neva Denise Caine, 22 (encargado de McDonald's) / Michelle Deanne Carncross, 18 / Colmenero-Silva de María Elena, 19 / David Flores Delgado, 11 / Gloria López González, 23 / Omar Alonso Hernández, 11 / Blythe Regan Herrera, 31 (madre de Matao Herrera) / Matao Herrera, 11 / Paulina Aquino López, 21 (empleado de McDonald's) / Margarita Padilla, 18 (empleado de McDonald's) / Claudia Pérez, 9 / Jose Rubén Lozano Pérez, 19 / Carlos Reyes, 8 meses / Jackie Lynn Wright-Dominguez, 18 (madre de Carlos Reyes) / Vencedor Maxmillian Rivera, 25 / Arisdelsi Vuelvas Vargas, 31 / Hugo Luis Velazquez Vasquez, 45 / Laurence Herman “Gus” Versluis, 62 / Aida Velazquez Victoria, 69 / Miguel Victoria-Ulloa, 74 (marido de Aida Victoria)"
220,Asesino,Asaltos y robos,Fue ejecutado en la horca el 8 de marzo de 1945,"Londres, Inglaterra, Gran Bretaña",1,7 de octubre de 1944,10 de octubre de 1944,3 de marzo de 1922
221,Asesino,Descuartizamiento - Robos,Condenado a cadena perpetua el 30 de septiembre de 1959,"Varios, Gran Bretaña, Suiza",2,1949 / 1959,27 de octubre de 1949 - 30 de enero de 1959,Diciembre de 1919
222,Asesino,Móvil desconocido,Condenado a 40 años de prisión el 21 de octubre de 2015,"Laredo, Cantabria, España",2,17 de agosto de 2014,Mismo día,1962
223,Asesino en serie,Violador,"Condenado a pena de muerte el 16 de marzo de 2000. Aparentemente, comete suicidio ahorcándose con las sábanas en su celda en prisión el 8 de octubre de 2001","Lahore, Punjab, Pakistán",100,1998 - 1999,30 de diciembre de 1999,1956
224,Asesino en masa,Según los psiquiatras forenses el móvil fue económico,Condenado a reclusión perpetua el 21 de agosto de 2002,"San Andrés de Giles, Argentina",5,1986 / 1995,31 de agosto de 1995,1965
225,Asesino,Mientras realizaban el acto sexual le asestó dos puñaladas con un machete,Condenado a 15 años de prisión el 3 de febrero de 2002,"Pozuelo de Alarcón, Madrid, España",1,2 de mayo de 2000,6 de mayo de 2000,1969
226,Asesinos en masa,Venganza,Condenados a 684 años de prisión. Emilio murió en prisión el 13 de diciembre de 2006. Antonio se suicidó ahorcándose en prisión con unas sábanas el 25 de abril de 2010,"Puerto Hurraco, Badajoz, España",9,26 de agosto de 1990,27 de agosto de 1990,Emilio: 1934 - Antonio: 1938
227,Homicida,Parricida - Menor de edad (15 años) - Mató a sus padres porque le reñían y le dieron «un par de tortas»,"Como era menor de 16 años, no se le aplicó el Código Penal. Pasó dos años en un centro de menores","Benijófar, Alicante, España",2,1 de agosto de 1994,12 de agosto de 1994,1989
228,Asesino itinerante,Para recuperar una carta y un anillo empeñado,Ejecutado en el garrote vil el 4 de julio de 1959,"Madrid, España",4,19 / 21 de julio de 1958,23 de julio de 1958,28 de abril de 1923
229,Asesino en serie,Violador - Camionero,Condenado a cadena perpetua en Oregón el 3 de junio de 1998,"Varios, Estados Unidos (California), Estados Unidos (Florida), Estados Unidos (Nebraska), Estados Unidos (Oregón), Estados Unidos (Washington), Estados Unidos (Wyoming)",8 +,1990 - 1995,30 de marzo de 1995,6 de abril de 1955
230,Asesino,Celos - Un sargento de la Guardia Civil mata a tiros a su exnovio en un gimnasio,Se suicida el mismo día disparándose en la cabeza,"Madrid, España",1,26 de julio de 2011,1966,"Marcos Hernández, de 28 años"
231,Asesino,Violador convicto,Condenado a 94 años de prisión el 21 de marzo de 2010,"L'Hospitalet de Llobregat, Barcelona, España",2,5 de octubre de 2004,Dos días después,1969
232,Asesino,Fundador de la congregación del Templo del Pueblo - Suicidio en masa,Murió de un disparo en la cabeza el mismo día de la masacre,"Jonestown, Guyana",900 +,18 de noviembre de 1978,13 de mayo de 1931,"Hombres, mujeres y niños"
233,Asesino,Terrorismo - Kaczynski luchaba por el regreso a la «vida salvaje» a través de «una completa y permanente destrucción de la sociedad industrial moderna en cada parte del mundo»,Condenado a cuatro cadenas perpetuas el 5 de mayo de 1998,"Varios lugares, Estados Unidos (California), Estados Unidos (Nueva Jersey)",3,1978 - 1995,3 de abril de 1996,22 de mayo de 1942
234,Asesino,"El motivo para cometer sus ataques era solamente por ""deseo de matar a alguien""",Sentenciado a pena de muerte el 18 de diciembre de 2009. Ejecutado en la horca el 21 de febrero de 2013,"Tsuchiura, Japón",2,19 / 23 de marzo de 2008,23 de marzo de 2008,1983
235,Asesino en masa,Venganza,"Condenado a muerte el 24 de marzo de 2011, permanece en prisión a la espera de ser ejecutado","Tokio, Japón",7,8 de junio de 2008,8 de junio de 2008,28 de septiembre de 1982
236,Asesino en masa,Tiroteo en una universidad - Móvil desconocido,Se suicida disparándose en la cabeza el mismo día,"Delkab, Estados Unidos (Illinois)",5,14 de febrero de 2008,26 de agosto de 1980,"Catalina Garcia, de 20 años / Julianna Gehant, de 32 / Ryanne Mace, de 19 / Gayle Dubowski, de 20 / Daniel Parmenter, de 20"
237,Homicida en masa,Fraude al seguro,Se suicida disparándose el mismo día. Muere 5 días después,"Bremerhaven, Bremen, Alemania",81,11 diciembre 1875,3 de septiembre de 1830,Hombres y mujeres (indiscriminados)
238,Asesino,Violador,Fue ejecutado en la horca en la prisión de Wandsworth el 6 de junio de 1944,"Londres, Inglaterra, Gran Bretaña",1,13 de febrero de 1944,24 de febrero de 1944,4 de octubre de 1923
239,Asesino en serie,Necrofilia - Canibalismo - Parricidio,Condenado a cadena perpetua en noviembre de 1973,"Varios lugares, Estados Unidos (California)",10,1964 / 1972 - 1973,24 de abril de 1973,18 de diciembre de 1948
240,Asesino,Secuestrador,Se suicida el mismo día arrojándose por la ventana de la comisaría,"Galatas, Grecia",2,4 de noviembre de 2000,4 de noviembre de 2000,1952
241,Asesino,Ku Klux Klan,Condenado a 60 años de prisión el 23 de junio de 2005,"Filadelfia, Estados Unidos (Mississippi)",3,21 de junio de 1964,6 de enero de 2005,17 de enero de 1925
242,Asesino,Agresión sexual - Sadismo,Condenado a 36 años de prisión por el asesinato de Sonia Carabantes y a otros 19 por el crimen de Rocío Wanninkhof. Las sentencias fueron dictadas por la Audiencia Provincial de Málaga en 2005 y 2006,"Málaga, España",2,1999 / 2003,18 de septiembre de 2003,"Rocío Wanninkhof Hornos, de 19 años / Sonia Carabantes Guzmán (17)"
243,Asesino en serie,Violador - Robos,Desconocido. Nunca fue capturado,"Czinkota, Hungría",24 +,1900 - 1914,1877,Mujeres
244,Asesino en masa,Tiroteo en un instituto,Se suicida el mismo día disparándose en la sien,"Columbine, Estados Unidos (Colorado)",13,20 de abril de 1999,11 de septiembre de 1981,"Rachel Scott, 17 / Daniel Rohrbough, 15 / William David Sanders, 47 / Kyle Velasquez, 16 / Steven Curnow, 14 / Cassie Bernall, 17 / Isaiah Shoels, 18 / Matthew Kechter, 16 / Lauren Townsend, 18 / John Tomlin, 16 / Kelly Fleming, 16 / Daniel Mauser, 15 / Corey DePooter, 17"
245,Asesino,Violador,Fue condenado a cadena perpetua en enero de 1961,"Risedale Road, Inglaterra, Gran Bretaña",1,11 de diciembre de 1960,"Verónica Eleanor Foy, de 15 años",Estrangulación con una media
246,Asesino en serie,Violador,Murió tiroteado por la Policía el 18 de diciembre de 1974,"Varios lugares, Estados Unidos (Alabama), Estados Unidos (Connecticut), Estados Unidos (Florida), Estados Unidos (Georgia), Estados Unidos (Nevada), Estados Unidos (Ohio), Estados Unidos (Texas), Estados Unidos (Virginia)",35,Julio - Noviembre 1974,17 de diciembre de 1974,14 de abril de 1946
247,Asesino en serie,Taxista - Violador,Ejecutado en la horca el 12 de agosto de 1997,"Teherán, Irán",9,Febrero - Junio 1997,1969,Mujeres entre 10 y 47 años
248,Asesino en serie,Violador - Mutilador,Condenado a pena de muerte el 29 de noviembre de 1989,"Varias, Estados Unidos (California)",16 +,1972 - 1983,14 de mayo de 1983,19 de marzo de 1945
249,Asesino en serie,Violador,"Condenado a 80 años de prisión, Illinois, en 2008. Condenado a cadena perpetua, Missouri, en 2008","Varias, Estados Unidos (Illinois), Estados Unidos (Kentucky), Estados Unidos (Missouri), Estados Unidos (Pensilvania)",9,1977 - 1982,29 de agosto de 2007,28 de noviembre de 1944
250,Homicida en masa,Menor de edad (17 años),Se suicida de un disparo en la sien el mismo día,"Winnenden / Wendlingen, Alemania",15,11 de marzo de 2009,29 de julio de 1991,"Jacqueline Hahn, 16 / Ibrahim Halilaj, 17 / Stefanie Tanja Kleisch, 16 / Selina Marx, 15 / Viktorija Minasenko, 16 / Nicole Elisabeth Nalepa, 17 / Chantal Schill, 15 / Jana Natascha Schober, 15 / Kristina Strobel, 16 / Michaela Köhler, 26 / Nina Denise Mayer, 24 / Sabrina Schüle, 24 / Franz Josef Just, 57 / Denis Puljic, 36 / Sigurt Peter Gustav Wilk, 46"
251,Asesino en serie,Asesino profesional - Supuestamente trabajó para varias «familias del crimen»,Condenado a cadena perpetua en marzo de 1988. Condenado a 30 años de prisión en 2003. Muere el 5 de marzo del 2006,"Varias, Estados Unidos (Nueva Jersey), Estados Unidos (Nueva York)",6 - 100 +,1949 - 1986,17 de diciembre de 1986,11 de abril de 1935
252,Asesino en serie,Violador - Necrofilia,Ejecutado en la horca el 14 de octubre de 1959,"Varios lugares, Japón",8,1948 - 1952,16 de enero de 1952,3 de noviembre de 1926
253,Asesino en serie,Sádico - Violador,Ejecutado en la guillotina el 2 de julio de 1931,"Düsseldorf, Alemania",9,1913 - 1929,24 de mayo de 1930,26 de mayo de 1883
254,Asesino,Envenenador - Contaminó una botella de vino con estricnina y la dejó en la finca a la que cada día iba su víctima,Condenado a 17 años de prisión el 6 de junio de 2013,"Castro de Escuadro, Ourense, España",1,24 de noviembre de 2009,4 de octubre de 2010,1953
255,Asesino en serie,"""Barbazul""",Ejecutado en la guillotina el 25 de febrero de 1922,"Varios lugares, Francia",11,1915 - 1919,12 de abril de 1919,12 de abril de 1869
256,Homicida,Tiroteo en una escuela secundaria,Condenado a tres cadenas perpetuas sin libertad condicional el 19 de marzo de 2013,"Chardon, Estados Unidos (Ohio)",3,27 de febrero de 2012,19 de septiembre de 1994,"Daniel Parmertor, de 16 años / Russell King Jr., de 17 / Demetrio Hewlin, de 16"
257,Asesino en masa,Tiroteo en una escuela,Se suicida el mismo día disparándose en la cabeza,"Newtown, Estados Unidos (Connecticut)",27,14 de diciembre de 2012,22 de abril de 1992,"Nancy Lanza, 52, su madre / Rachel D'Avino, 29, profesora / Dawn Hochsprung, 47, directora / Anne Marie Murphy, 52, profesora / Lauren Rousseau, 30, profesora / Mary Sherlach, 56, psicóloga / Victoria Leigh Soto, 27, profesora / Charlotte Bacon, 6 / Daniel Barden, 7 / Olivia Engel, 6 / Josephine Gay, 7 / Dylan Hockley, 6 / Madeleine Hsu, 6 / Catherine Hubbard, 6 / Chase Kowalski, 7 / Jesse Lewis, 6 / Ana Marquez-Greene, 6 / James Mattioli, 6 / Grace McDonnell, 7 / Emilie Parker, 6 / Jack Pinto, 6 / Noah Pozner, 6 / Caroline Previdi, 6 / Jessica Rekos, 6 / Avielle Richman, 6 / Benjamin Wheeler, 6 / Allison Wyatt, 6"
258,Asesino en serie,"Parricida - Primer caso en el que se condena a alguien en España sin que aparezcan cadáveres, ni restos biológicos, ni armas y sin que haya una confesión",Laso fue condenado en 1993 a 57 años de prisión por doble asesinato. Salió en libertad condicional debido a su buena conducta en 1999. Condenado a 30 años de prisión por doble homicidio el 28 de octubre de 2014,"Tarragona, España",4,1988 / 1989 / 2009,30 de marzo de 2011,1955
259,Asesino en serie,Violador,Murió abatido a tiros por la policía el 27 de febrero de 1975,"Corrientes / San Isidro, Argentina",13 +,1974 - 1975,Mujeres,Arma de fuego - Estrangulamiento
260,Asesino en serie,Enfermero,Condenado a cadena perpetua el 20 de noviembre de 2006,"Sonthofen, Bavaria, Alemania",28 +,2003 - 2004,14 de julio de 2004,17 de septiembre de 1978
261,Homicida,Decapitación - Canibalismo,"Fue considerado penalmente irresponsable el 5 de marzo de 2009 y confinado en un sanatorio psiquiátrico, sin fecha de salida","Manitoba, Canadá",1,30 de julio de 2008,Día siguiente,30 de abril de 1968
262,Asesino en serie,Violador en serie,Condenado a 61 años de prisión por violación y tentativa de homicidio el 4 de diembre de 2012. Condenado a 240 años de prisión por seis violaciones y seis homicidios el 1 de diciembre de 2012,"Estado de México, México",6,2011 - 2012,26 de febrero de 2012,16 de junio de 1982
263,Asesino en serie,Menor de edad (17 años) - Violador,Fue condenado a muerte en diciembre de 1959. Posteriormente la pena fue conmutada por la de cadena perpetua,"Bermudas, Gran Bretaña",3,Marzo - Septiembre 1959,Octubre de 1959,1940
264,Asesino en masa,Afirmó que mató a su familia para que fuera más rápidamente al Cielo; lejos de una vida de estrecheces económicas y pecado,Condenado a cadena perpetua el 1 de mayo de 1990. Murió en prisión el 21 de marzo de 2008,"Westfield, Estados Unidos (Nueva Jersey)",5,9 de noviembre de 1971,1 de junio de 1989,17 de septiembre de 1925
265,Asesino,Parricida,Condenado a 20 años de prisión el 24 de octubre de 2014,"Palma de Mallorca, España",1,28 de febrero de 2013,Mismo día,1 de junio de 1994
266,Asesino en serie,Violador en serie,Condenado a pena de muerte el 25 de julio de 1986,"Tampa Bay, Estados Unidos (Florida)",10,May. - Nov. 1984,16 de noviembre de 1984,14 de octubre de 1953
267,Asesino en serie,Pedofilia - Violación,"Condenado a 16 años de prisión en Ecuador el 25 de enero de 1981. Puesto en libertad el 31 de agosto de 1994.  Detenido una hora después por inmigración ilegal y extraditado a Colombia, cuyas autoridades le acusan de un asesinato cometido 20 años antes. Considerado mentalmente inimputable fue internado en un hospital psiquiátrico en Bogotá. Declarado cuerdo en 1998, fue puesto en libertad. Desde entonces se desconoce su estado y paradero.","Varios lugares, Colombia, Ecuador, Perú",57 - 300 +,1969 - 1980,9 de marzo de 1980,8 de octubre de 1948
268,Homicida,«Por motivos relacionados con la droga»,Condenado a 55 años de prisión el 7 de mayo de 2013,"Cartagena, Murcia, España",2,16 de febrero de 2011,Mismo día (herido por la Policía),1977
269,Asesino,Robo,Ejecutado a garrote vil el 21 de agosto de 1958,"Alicante, España",1,30 de julio de 1954,27 de noviembre de 1954,1924
270,Asesino,Decapitación,Muerto a tiros por la Policía el 12 de julio de 2012,"Lolol, Colchagua, Chile",2,10 / 12 de julio de 2012,1 de noviembre de 1972,"Juan René Duarte Becerra, de 56 años / María José Reyes Moore, de 46"
271,Asesino,Parricida - Vivió cuatro meses con los cadáveres de sus padres en su domicilio,Condenado a 31 años y 6 meses de prisión el 2 de febrero de 2012,"L'Hospitalet de Llobregat, Barcelona, España",2,4 de abril de 2008,13 de febrero de 2009,1968
272,Homicida,Descuartizamiento - El cadáver de la víctima nunca apareció - El juez autorizó por primera vez en España el uso de la prueba P300,Condenado a 16 años de prisión el 1 de diciembre de 2015. El Tribunal Superior de Justicia de Aragón redujo en un año la sentencia el 11 de marzo de 2016,"Ricla, Zaragoza, España",1,2 de abril de 2012,27 de octubre de 2012,1957
273,Asesino en serie,Violador,Condenado a cadena perpetua el 25 de noviembre de 2004. Murió en octubre de 2013,"Yonne, Burgundy, Francia",7,1977 - 1981,12 de diciembre de 2000,26 de enero de 1934
274,Asesino,Mató al primer marido de su mujer en 1951 y a ésta en 2005,Condenado a 30 años de prisión el 2 de abril de 1952. Puesto en libertad en 1972.,"Piedrabuena, Ciudad Real, España",2,1951 / 2005,5 de junio de 2005,1926
275,Asesino en serie,Canibalismo - Necrofilia,Condenado a pena de muerte. Muere en prisión el 11 de marzo de 2001,"Varios lugares, Estados Unidos (Michigan), Estados Unidos (Texas)",11 - 600,1960 - 1983,15 de junio de 1983,23 de agosto de 1936
276,Asesino en masa,Parricida,Condenado a cadena perpetua en 1979,"Fort Bragg, Estados Unidos (Carolina del Norte)",3,17 de febrero de 1970,1 de mayo de 1970,12 de octubre de 1943
277,Asesino,Parricidio,Condenado a 54 años de prisión el 25 de marzo de 2008,"Elche, Alicante, España",3,13 de abril de 2005,13 de abril de 2005,"Su mujer, Teresa Asunción, de 34 años, y sus hijos, José María, de 6, y Vicente, de 2"
278,Asesino en masa,¿Robo? - ¿Drogas?,Condenado a 384 años de prisión el 25 de noviembre de 2003,"México, D. F., México",7,15 de noviembre de 2002,1 de diciembre de 2002,1977
279,Homicida,"Maher dijo que su intención era accionar la alarma de incendio, conseguir ayuda, y de esa manera posar como un héroe ante Safra",Condenado a 10 años de prisión el 4 de diciembre de 2002. Puesto en libertad en octubre de 2007,"Montecarlo, Mónaco",2,3 de diciembre de 1999,3 días después,9 de junio de 1958
280,Asesino,Descuartizamiento,Ejecutado en la horca en la prisión de Wandsworth el 2 de septiembre de 1924,"Sussex, Inglaterra, Gran Bretaña",1,15 de abril de 1924,2 de mayo de 1924,1890
281,Asesino,Líder de una secta - Manson y sus seguidores estaban tratando de incitar una guerra racial que creían que había sido profetizada en la canción de los Beatles «Helter Skelter»,"Fue condenado a muerte el 19 de abril de 1971. La pena fue conmutada a cadena perpetua en 1972 por la Corte Suprema de California tras la suspensión temporal de la pena de muerte en el Estado. Manson falleció en el hospital Mercy de Bakersfield (Califormia) el domingo 19 de noviembre de 2017 a las 20,13 horas","Los Ángeles, Estados Unidos (California)",9 + 1,Julio - Agosto 1969,12 de octubre de 1969,12 de noviembre de 1934
282,Asesino en serie,Robos,Fue ejecutado en la horca en Glasgow el 11 de julio de 1958,"Inglaterra / Escocia, Gran Bretaña",9 - 12,1956 - 1958,13 de enero de 1958,15 de marzo de 1927
283,Asesino en serie,Robos - Drogas,Condenado a cadena perpetua en noviembre de 2005,"Tacna, Perú",8,Ene. - Dic. 2004,19 de diciembre de 2004,10 de diciembre de 1979
284,Asesino,"Mató a su ex suegra al tratar de secuestrar a su hija, de 21 meses. Dice que pertenece a una secta satánica",En prisión a la espera ser juzgado,"A Coruña, España",1,20 de agosto de 2017,Día siguiente,1974
285,Asesino en masa,Parricida,"El 23 de julio de 1986 fue condenado, por la Audiencia Provincial de Granada, a 32 años de cárcel, como autor de cuatro delitos de parricidio con eximente incompleta de enajenación mental","Lérida/Granada, España",4,11/21 de mayo de 1984,22 de mayo de 1984,"Su esposa, Petronila Lajo Montero, de 29 años, y sus tres hijos, Eva, de 9, Susana, de 5 y José Daniel, de 3"
286,Asesino,Parricidio - Desavenencias familiares - Los hijos se negaron a que la amante del padre se instalara en la vivienda familiar,Condenado a 45 años y 6 meses de prisión el 24 de octubre de 2016,"Ubrique, Cádiz, España",2,7 de octubre de 2014,Mismo día,1961
287,Asesino en serie,Torturador - Secuestros por rescate,Condenado a 280 años de prisión el 6 de febrero de 2010,"México, D. F., México",4,Octubre - Diciembre 2005,23 de enero de 2006,1 de septiembre de 1980
288,Asesino,Descuartizamiento,Fue condenado a 36 años de prisión en 1991. Puesto en libertad el 21 de junio de 2004,"Cádiz, España",1,21 de enero de 1989,30 de enero de 1989,1966
289,Asesino,Descuartizamiento,Se suicida disparándose en la cabeza el 8 de abril de 2006,"Santiago, Chile",1,26 de marzo de 2006,1965,"Hans Hernán Pozo Vergara, de 20 años, «El Rucio»"
290,Asesino,Violador en serie - Canibalismo - Descuartizamiento,"Se suicida ahorcándose con la cinta de su máquina de escribir en su celda de Colina II, el 14 de diciembre de 2002","La Dehesa, Santiago, Chile",1,8 de mayo de 2002,12 de junio de 2002,19 de abril de 1976
291,Asesino en serie,"Se hacía pasar por abogado para que sus víctimas le firmaran poderes amplios sobre sus propiedades, después de lo cual desaparecían o eran encontrados muertos",Condenado a 24 años de prisión en 1949. Fallece en prisión el 24 de enero de 1960,"Varios lugares, Colombia",1 - 20 +,1936 - 1947,Septiembre de 1891,Alfredo Forero Vanegas
292,Asesino en masa,¿Atentado terrorista? - El peor tiroteo múltiple registrado en la historia de Estados Unidos,Muere el mismo día en un tiroteo con la policía,"Orlando, Estados Unidos (Florida)",49,12 de junio de 2016,16 de noviembre de 1986,Hombres y mujeres homosexuales presentes en la discoteca gay Pulse
293,Asesino,Violador - Mutilación - Homosexualidad,Fue condenado a muerte el 30 de enero de 1958. Posteriormente la pena fue conmutada por la de cadena perpetua,"Newcastle, Inglaterra, Gran Bretaña",1 +,18 de noviembre de 1957,23 de noviembre de 1957,1905
294,Asesino en serie,Violador,Condenado a 23 años de prisión el 2 de julio de 2008,"Varios lugares, Brasil",6,1999 - 2005,29 de marzo de 2005,24 de septiembre de 1966
295,Asesino en masa,Descarrilamiento de varios trenes - Los accidentes fueron causados con el fin de obtener satisfacción sexual,"Fue condenado a muerte en 1934, aunque la pena fue conmutada por la de cadena perpetua. Posteriormente consiguió escapar de la cárcel en 1944 y desapareció para siempre","Bia-Torgaby, Hungría",22,12 de septiembre de 1931,10 de octubre de 1931,24 de enero de 1892
296,Asesino en serie,¿Canibalismo? - Fue clasificado como el preso más peligroso de Gran Bretaña,Condenado a cadena perpetua (confinamiento solitario),"Varias, Gran Bretaña",4,1974 / 1977 - 1978,Junio de 1953,John Farrell (un hombre que contactó con él para mantener relaciones sexuales) / Un compañero recluso / Salney Darwood y Bill Roberts (compañeros reclusos)
297,Asesino,Descuartizamiento - El esposo de la víctima se encontraba en prisión implicado en el «caso de la colza»,Condenado a 21 años de prisión el 6 de julio de 1985,"Cambrils, Tarragona, España",1,9 de enero de 1984,26 de marzo de 1984,1961
298,Asesino en masa,Venganza pasional,Se suicida el mismo día disparándose en el corazón,"Burgos / San Millán de Lara, España",6,27 de noviembre de 1996,1943,"Los hermanos María del Carmen, de 23 años, Rosa, de 15,  y Antonio Delgado Juez, de 19 / Antonia de la Torre, de 90 años / Juliana Juez Juez, de 65 / Ángela Porres de la Torre"
299,Asesino,Canibalismo - Descuartizamiento,Condenado a ocho años y medio de prisión el 30 de enero de 2004. Sentencia anulada por el Tribunal Federal Supremo. Condenado a cadena perpetua el 8 de mayo de 2006,"Rotemburgo, Alemania",1,9 de marzo de 2001,10 de diciembre de 2002,1 de diciembre de 1961
300,Homicida - Asesino,Parricidio,Se suicidó disparándose el 16 de febrero de 1954,"Escocia / Inglaterra, Gran Bretaña",3,1926 / 1954,17 de agosto de 1908,"Su madre, Bertha Merrett (55 años) / Su esposa, Veronica Bonnar (43) y su madre, Lady Mary Menzies (72)"
301,Asesino,Atracos - Contrabando - Secuestro,Murió acribillado a tiros por la policía el 2 de noviembre de 1979,"Varias, Canadá, Francia",39 +/-,c. 1960 - 1979,28 de diciembre de 1936,Hombres y mujeres
302,Terrorista,Metesky colocó al menos 33 bombas en protesta por lo que él creía un despido laboral injusto,Declarado demente e ingresado en un psiquiátrico hasta 1973. Murió el 23 de mayo de 1994,"Nueva York, Estados Unidos (Nueva York)",15 heridos,1940 - 1956,21 de enero de 1957,2 de noviembre de 1903
303,Asesino,Se hizo famoso por haber disuelto 300 cadáveres en ácido en diez años para el cártel de Tijuana.,En prisión. Sentencia desconocida,"Tijuana, Baja California, México",0 - 5 +,1990s - 2000s,22 de enero de 2009,1963
304,Asesino en serie,Pederasta - Violador,Ejecutado por fusilamiento el 18 de julio de 1946,"Varias, Guatemala",15,Enero - Abril 1946,26 de abril de 1946,1925
305,Asesino en serie,Violador,"Condenado a siete cadenas perpetuas, más otros 18 años de cárcel, el 27 de julio de 1996","Nueva Gales del Sur, Australia",7 +,1989 - 1992,22 de mayo de 1994,27 de diciembre de 1944
306,Asesino,Traficante de drogas - Violencia carcelaria,Condenado a 30 años de prisión en 1992. Condenado a 15 años de prisión en 1995. Puesto en libertad en noviembre de 2013,"Santa Cruz de la Sierra, Bolivia",2,1991 / 1994,7 de julio de 1965,"Su amante, la estadounidense Gloey Weisseman, de 46 años / Marcial Delgadillo, alias Papacho"
307,Asesino en serie,Canibalismo - Necrofilia - Mutilación,Condenado a pena de muerte el 14 de abril de 1997. Ejecutado en la horca el 17 de junio de 2008,"Tokio / Saitama, Japón",4,1988 - 1989,23 de julio de 1989,21 de agosto de 1962
